ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Homonym,IndoAryan_Proto_Form,Inflection_Class,Main_Entry,Media_IDs,Morphemic_Form,Origin,Phonetic,Restrictions,Usage,Variant_Form,Vernacular
ma,phl,ma,pron:pers,,,ma- '1sg (base of oblique cases)' (T: 9691),,,,,,ma,,,"máa- (Forming one phonological word with following postposition or clitic, e.g. máathe 'me, to me' with the 'to'.)",مہ
LX001389,phl,maačís,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (English 'matches'),maatɕís,,,,ماچِس
LX001390,phl,maac̣huríi,n.fem,,,*mākṣikakara- ; *mākṣakara- 'bee' (T: 9990),"a-decl (Obl, pl): -a",,,,,maaʈʂʰuríi,,,,ماڇُھری
LX001391,phl,maadá,n.masc,,,,ee-decl (Pl): maadeé,,,,,maadá,,,,مادہ
LX001392,phl,maadarí zabaán,MWE,LX002455,,,,,,,Urdu (Persian): maadarii zabaan,maadarí zabaán,,,,مادری زبان
LX001393,phl,maáf,n.fem,,,,"i-decl (Obl, pl): -í",,,,"Urdu (Persian/Arabic): moˈaaf, maaf","maáf, mwaáf, muaáf",,Primarily used as a non-verb element in complex predicates,,معاف
LX001394,phl,maáf thíi,v.tr:cjt.ninc,LX001393,,,,,,,,maáf tʰíi,Fem agr with non-verb element in pfv; postpositional object with the,,,معاف تھی
LX001395,phl,máakaṛ,n.masc,,,markáṭa- 'monkey (m)' (T: 9882),"a-decl (Obl, Pl): -a",,,,,,,,,ماکڑ
LX001396,phl,maaldaár,adj.inv,,,,,,,,Urdu (Arabic and Persian): maal-daar,maaldaár,,,,مالدار
LX001397,phl,maalí,n.masc,,,,aan-decl (Pl): maaliaán,,,,Urdu: maalii,maalí,,,,مالیۡ
LX001398,phl,maalík,n.masc,,,,"aan-decl (Pl): maalikaán, (Obl): -á",,,,Urdu/Persian (Arabic): maalik,maalík,,,,مالِک
LX001399,phl,maalúm,n.masc,,,,,,,,Urdu (Arabic): maluum,maalúm,,,,معلوم
LX001400,phl,maalumaát,n.fem,,,,"i-decl (Obl, pl): maalumeetí",,,,Urdu (Arabic): maluumaat,maalumaát,,,,معلومات
LX001401,phl,maamaá,n.masc,LX001402,,māma- 'uncle (masc)' (T: 10055),,,,,,maamaá,,Even addressing older person (especially maternal relative) that is not one's mother's brother,,ماما
LX001402,phl,máamu,n.masc,,,,"Irr (Obl): máama, (Pl): maamayeé, maamayá, (Pl obl): maamayúm",,,,,máamu,,,,ماموۡ
LX001403,phl,maamulí,adj.inv,,,,,,,,Urdu (Persian): maamuulii,maamulí,,,,معمولیۡ
LX001404,phl,máaṇḍa,v.tr,,,"*mr̥ndati 'pounds, crushes, treads on, squeezes, rubs' (T: 9890)","L:cons (Prs): maṇḍáanu, (Pfv): maṇḍílu, (Cv): maṇḍí, (Imp): máaṇḍ",,,maṇḍ-,,máaɳɖa,,,,مانڈہ
LX001405,phl,máara,v.intr,,,máratē 'will die' (T: 9871) ; mr̥tá- 'dead; death (neut)' (T: 10278),"T (Prs): maráanu, (Pfv): múṛu, (Cv): marí, (Imp): máar",,,"mar-, muṛ-",,máara,,,máare (Biori),مارہ
LX001406,phl,maaspaxín,n.masc,,,,i-decl (Obl): -í,,,,Pashto: maas-pxiin,maaspaxín,,,,ماسپخِن
LX001407,phl,maasúm,adj.inv,,,,,,,,Urdu (Arabic): masuum,maasúm,,,,معصوم
LX001408,phl,maaṣṭér,n.masc,,,,"aan-decl (Obl): -á, (Pl): -aán",,,,Urdu (English 'master'),maaʂʈér,,,,ماݜٹر
LX001409,phl,máathe,pron:pers,ma ; the,,,,,,,,máatʰe,,,,ما تھےۡ
LX001410,phl,máatu,n.fem,,,,m-decl (Pl): máatum,,,,,máatu,,,,ماتوۡ
LX001411,phl,máaṭu,n.fem,,,,m-decl (Pl): -m,,,,,máaʈu,,,,ماٹوۡ
LX001412,phl,maaxaám,n.masc,,,,"i-decl (Obl, pl): maaxamí",,,,Pashto: maaxaam,maaxaám,,,maaxám (Biori),ماخام
LX001413,phl,maazigár,n.masc,,,,i-decl (Obl): -í,,,,"Pashto: maaziigar, maaz-diigar",maaziɡár,,,,مازِگر
LX001414,phl,mac̣hoók,n.masc:pn,,,,a-decl (Obl): -á,,,,,maʈʂʰoók,,,,مڇھوک
LX001415,phl,madád,n.fem,,,,i-decl (Obl): -í,,,,Urdu (Arabic): madad,madád,,Primarily used as a non-verb element in complex predicates,madát,مدد
LX001416,phl,madád thíi,v.tr:cjt.ninc,LX001415,,,,,,,,madád tʰíi,Fem agr with non-verb element in pfv; postpositional object with sanɡí or possessive complement,,,مدد تھی
LX001417,phl,mafruúr,n.masc,,,,"aan-decl (Obl): -á, (Pl): -aán",,,,Urdu (Arabic): mafruur,mafruúr,,,,مفرُور
LX001418,phl,máhar,n.masc,,,,"a-decl (Obl, pl): -a",,,,Urdu/Persian (Arabic): mahr,máhar,,,,مہر
LX001419,phl,maidaaní,adj.inv,LX001420,,,,,,,,majdaaní,,,,مئدانیۡ
LX001420,phl,maidóon,n.masc,,,,"a-decl (Obl, pl): -a",,,maidáan,Urdu (Arabic): maidaan,"majdóon, meedóon",,,maidáan (Biori),مئدون
LX001421,phl,maǰburí,n.fem,,,,,,,,Urdu (Persian/Arabic): maǰbuurii,madʑburí,,,,مجبُریۡ
LX001422,phl,maǰí,post,,,,,,,,,madʑí,"With preceding oblique nominal argument in its spatial/temporal sense, an animate oblique plural nominal or accusative plural argument in the sense 'among, out of', and an oblique form when its temporal sense is expressed with a pro-form.",,,مجیۡ
LX001423,phl,maǰmeeró,adj,LX001361 ; LX002518 ; LX001454,,,Reg (Fem): maǰmeerí,,,,,madʑmeeró,,,,مجمیروۡ
LX001424,phl,mákar,n.masc,,,,"a-decl (Obl, pl): -a",,,,"Urdu (Arabic): makr, makar",mákar,,,,مکرہ
LX001425,phl,makrái,adj.inv,,,,,,,,,makráj,,,,مکرئیۡ
mal,phl,mal,n.fem,,,,i-decl (Obl): -í,,,,,mal,With plural reference,,,مل
LX001426,phl,malák,n.masc,,,,"aan-decl (Obl): -á, (Pl): -aán",,,,,malák,,,,ملک
LX001427,phl,malíi,v.tr,,,,"T (Prs): maláanu, (Pfv): malíitu, (Cv): malí, (Imp): malá",,,"mal-é-, mal-íit-",,malíi,,,,ملی
LX001428,phl,malíitu,v.tr,,,,,LX001427,,,,malíito,,,,ملِیتوۡ
